Model,Execution Time (sec),MAE,MSE,RMSE
"Census_arimax(1,2,0)_predictions_20",-1,-1,-1,-1
"Census_arimax(3,2,0)_predictions_20",-1,-1,-1,-1
"Census_arimax(2,2,0)_predictions_20",-1,-1,-1,-1
"Census_arimax(4,2,0)_predictions_20",-1,-1,-1,-1
"Census_arima(1,2,0)_predictions_20",1.838491678237915,431.4058281994794,294362.5316925172,542.5518700479404
"Census_arima(3,2,0)_predictions_20",3.571370840072632,436.2527892941756,327546.80919104733,572.3170530318378
"Census_arima(2,2,0)_predictions_20",2.62741756439209,470.73536627219164,339518.96987558715,582.6825635589134
"Census_arima(4,2,0)_predictions_20",5.743636131286621,463.6572887631079,397280.74748587905,630.3021081083888
