Model,Execution Time (sec),MAE,MSE,RMSE
"SpeedDifference_arima(2,2,3)_predictions_15_crossvalidation_3",14.415802717208862,5.3970920899117,51.8794287475878,7.202737587028129
"SpeedDifference_arima(1,2,3)_predictions_15_crossvalidation_3",12.973140478134155,5.499559273483908,57.39663920992533,7.576056969817831
"SpeedDifference_arima(4,2,3)_predictions_15_crossvalidation_3",18.9978449344635,5.760981212412381,57.565632892065224,7.587201914544335
"SpeedDifference_arima(3,2,3)_predictions_15_crossvalidation_3",13.762481451034546,5.753467111284743,59.259107949540244,7.697993761334199
