Model,Execution Time (sec),MAE,MSE,RMSE
"Shampoo_arima(1,2,3)_predictions_15_crossvalidation_3",1.4693701267242432,98.3916441649771,15726.051221286454,125.40355346355403
"Shampoo_arima(2,2,3)_predictions_15_crossvalidation_3",1.4881761074066162,98.47727016846679,15867.355768170417,125.96569282217447
"Shampoo_arima(3,2,3)_predictions_15_crossvalidation_3",1.8591978549957275,120.04877135153522,22793.051253455447,150.97367735289305
"Shampoo_arima(4,2,3)_predictions_15_crossvalidation_3",1.5281319618225098,137.74529593491013,28628.651065207025,169.20003269859916
