Model,Execution Time (sec),MAE,MSE,RMSE
"Shampoo_Sales_arima(4,3,2)_predictions_12_crossvalidation_3",-1,-1,-1,-1
"Shampoo_Sales_arima(5,3,3)_predictions_12_crossvalidation_3",5.7237560749053955,49.83942429439126,4003.4612112528243,63.27291056410179
"Shampoo_Sales_arima(1,3,3)_predictions_12_crossvalidation_3",3.678544521331787,57.42376718241576,4515.0696758447075,67.19426817701572
"Shampoo_Sales_arima(3,2,3)_predictions_12_crossvalidation_3",4.041234254837036,55.62556601634088,4522.549781761929,67.24990544054266
"Shampoo_Sales_arima(1,2,2)_predictions_12_crossvalidation_3",2.1917502880096436,50.698761876790456,4595.468650801363,67.78988605095427
"Shampoo_Sales_arima(4,3,3)_predictions_12_crossvalidation_3",4.700702905654907,57.872351870825604,4756.1783721227885,68.96505181700938
"Shampoo_Sales_arima(1,2,3)_predictions_12_crossvalidation_3",2.2703139781951904,53.866590824466535,4859.563594282688,69.71057017614106
"Shampoo_Sales_arima(3,3,3)_predictions_12_crossvalidation_3",4.354912042617798,56.51068519212649,5008.555158650123,70.77114637089132
"Shampoo_Sales_arima(4,2,2)_predictions_12_crossvalidation_3",3.418955087661743,59.41743721490183,5290.5369110139445,72.73607709392874
"Shampoo_Sales_arima(5,2,3)_predictions_12_crossvalidation_3",5.525815963745117,57.12320743917595,5441.875659521244,73.76906980246697
"Shampoo_Sales_arima(3,1,3)_predictions_12_crossvalidation_3",3.863922595977783,56.03105852009164,5474.368276035049,73.98897401664014
"Shampoo_Sales_arima(5,1,3)_predictions_12_crossvalidation_3",5.176162481307983,57.93517180540454,5497.467840990897,74.14491109301363
"Shampoo_Sales_arima(2,1,3)_predictions_12_crossvalidation_3",3.0785441398620605,60.457059542704805,5664.396025108319,75.26218190504657
"Shampoo_Sales_arima(2,2,3)_predictions_12_crossvalidation_3",4.00082540512085,62.62671908145066,5747.355355673899,75.81131416664599
"Shampoo_Sales_arima(2,3,3)_predictions_12_crossvalidation_3",4.240149736404419,64.12748580792226,5772.088851876974,75.97426440497449
"Shampoo_Sales_arima(3,2,2)_predictions_12_crossvalidation_3",3.1907598972320557,61.642753313671314,5830.828071084786,76.3598590300217
"Shampoo_Sales_arima(4,2,1)_predictions_12_crossvalidation_3",2.6779515743255615,60.53638475301372,5875.0843255377185,76.6490986609609
"Shampoo_Sales_arima(5,2,2)_predictions_12_crossvalidation_3",4.329977989196777,59.396083364368366,6008.433077048092,77.51408308848201
"Shampoo_Sales_arima(5,2,1)_predictions_12_crossvalidation_3",2.9000494480133057,60.24320627280026,6027.664298414063,77.6380338391826
"Shampoo_Sales_arima(2,2,1)_predictions_12_crossvalidation_3",1.8928043842315674,66.70394582266199,6263.283365665781,79.1409082944199
"Shampoo_Sales_arima(1,0,2)_predictions_12_crossvalidation_3",3.437145709991455,64.4850444395481,6374.112551720599,79.83803950323805
"Shampoo_Sales_arima(5,1,2)_predictions_12_crossvalidation_3",4.634106159210205,65.03453286737955,6384.399461309666,79.90243714249063
"Shampoo_Sales_arima(5,1,1)_predictions_12_crossvalidation_3",3.313884973526001,64.39831074416009,6398.236312179762,79.98897619159631
"Shampoo_Sales_arima(5,3,2)_predictions_12_crossvalidation_3",5.37167501449585,61.89982577204657,6428.086736834962,80.17534993272534
"Shampoo_Sales_arima(5,2,0)_predictions_12_crossvalidation_3",2.1180946826934814,67.13843817867738,6505.510356414466,80.65674402314085
