location,predictedValues,a1,a2,a3,mae,mse,rmse,split,test,broke
Braga,12,12,1,1,9.327734732077412,105.04397421377904,10.249096263270193,1,-72,0
Braga,12,12,1,1,4.712272271783465,42.06610394868062,6.485838723610126,2,-72,0
Braga,12,12,1,1,1.7848841135753721,3.8245719834764884,1.955651293936751,3,-72,0
