Model,Execution Time (sec),MAE,MSE,RMSE
"SpeedDifference_arimax(1,2,3)_predictions_15_crossvalidation_3",21.26518154144287,5.5000477487509505,57.375807916252484,7.574682034003308
"SpeedDifference_arimax(4,2,3)_predictions_15_crossvalidation_3",23.25238823890686,5.838689632379707,58.897960640298614,7.674500676936488
"SpeedDifference_arimax(3,2,3)_predictions_15_crossvalidation_3",18.511502742767334,5.725753933091852,59.14235885597634,7.690406936955699
"SpeedDifference_arimax(2,2,3)_predictions_15_crossvalidation_3",22.19497060775757,5.728510529183795,60.26037727824439,7.762755778603652
