Model,Execution Time (sec),MAE,MSE,RMSE
"SpeedDifference_arimax(4,2,3)_predictions_15_crossvalidation_3",3.6516547203063965,9.79286424273885,136.88589472699243,11.699824559667228
"SpeedDifference_arimax(3,2,3)_predictions_15_crossvalidation_3",1.99385404586792,9.78247451924049,140.5804925920543,11.856664480032077
"SpeedDifference_arimax(1,2,3)_predictions_15_crossvalidation_3",2.8147263526916504,9.703141008273679,143.16991125605097,11.96536298053891
"SpeedDifference_arimax(2,2,3)_predictions_15_crossvalidation_3",2.445084810256958,9.773498722025407,148.14240914789173,12.17137663322813
