Model,Execution Time (sec),MAE,MSE,RMSE
"Shampoo_arima(3,2,3)_predictions_15_crossvalidation_3",6.4356608390808105,56.90576076733317,4733.702860778175,68.80191029890213
"Shampoo_arima(1,2,3)_predictions_15_crossvalidation_3",4.4070658683776855,59.30305806856864,5673.901050349973,75.32530152843712
"Shampoo_arima(2,2,3)_predictions_15_crossvalidation_3",5.881389379501343,65.8112203831433,6303.30534959219,79.39335834685538
"Shampoo_arima(4,2,3)_predictions_15_crossvalidation_3",8.128800868988037,70.61058975298944,7429.183086112859,86.19270900785553
