Model,Execution Time (sec),MAE,MSE,RMSE
"Census_ARIMA(1,2,0)_predictions_20_crossvalidation_3",1.81215500831604,431.4058281994794,294362.5316925172,542.5518700479404
"Census_ARIMA(3,2,0)_predictions_20_crossvalidation_3",3.650416851043701,436.2527892941756,327546.80919104733,572.3170530318378
"Census_ARIMA(2,2,0)_predictions_20_crossvalidation_3",2.4464499950408936,470.73536627219164,339518.96987558715,582.6825635589134
"Census_ARIMA(4,2,0)_predictions_20_crossvalidation_3",4.9970362186431885,463.6572887631079,397280.74748587905,630.3021081083888
"Census_ARIMA(3,2,0)_predictions_20_crossvalidation_1",4.5837414264678955,1162.8271691469295,2026472.3788126432,1423.5421942508917
"Census_ARIMA(2,2,0)_predictions_20_crossvalidation_1",1.716447353363037,1413.082612630586,2775308.84820241,1665.9258231393167
"Census_ARIMA(4,2,0)_predictions_20_crossvalidation_1",5.214735269546509,1396.3071173969397,2872543.974481316,1694.858098626937
"Census_ARIMA(4,2,0)_predictions_20_crossvalidation_2",4.85612154006958,1362.0785679290982,2893023.0636635576,1700.8889039744947
"Census_ARIMA(3,2,0)_predictions_20_crossvalidation_2",3.3174664974212646,1421.7701299921127,3314202.818076674,1820.4952123190749
"Census_ARIMA(2,2,0)_predictions_20_crossvalidation_2",2.193967342376709,1496.4107146426436,4083645.7433714927,2020.8032421221747
"Census_ARIMA(1,2,0)_predictions_20_crossvalidation_2",3.2144038677215576,1856.5824691798396,4990201.944268214,2233.875991246652
"Census_ARIMA(1,2,0)_predictions_20_crossvalidation_1",1.3011646270751953,1982.637971605811,6485387.405967228,2546.64237889171
