Model,Execution Time (sec),MAE,MSE,RMSE
"SpeedDifference_arima(4,2,3)_predictions_15_crossvalidation_3",2.448429822921753,9.808349892749705,136.47936609956463,11.682438362754782
"SpeedDifference_arima(3,2,3)_predictions_15_crossvalidation_3",2.1491317749023438,9.763972500796232,140.61307628863565,11.858038467159552
"SpeedDifference_arima(1,2,3)_predictions_15_crossvalidation_3",2.2976863384246826,9.703616448438284,143.11444819735158,11.96304510554698
"SpeedDifference_arima(2,2,3)_predictions_15_crossvalidation_3",2.0700550079345703,9.784807952897731,148.84786183120642,12.200322201942308
