location,predictedValues,a1,a2,a3,mae,mse,rmse,split,test,broke
Braga,12,12,1,1,2.1885518949354648,7.482958540239642,2.7354996874866653,1,-72,0
Braga,12,12,1,1,0.0,0.0,0.0,2,-72,1
Braga,12,12,1,1,2.2635380846075464,6.121315890234627,2.4741293196263263,3,-72,0
